GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tase,com.maya.utils,Utils.new SimpleFormatter() {...},34,0,0,0,3,0,2,0,2,0
tase,com.maya.utils,Utils.Language,0,28,0,0,0,7,0,3,0,3
tase,com.maya.utils,GSONUtil.new JsonDeserializer() {...},0,19,0,0,0,3,0,3,0,3
tase,com.maya.utils,GSONUtil.new JsonDeserializer() {...},0,20,0,0,0,3,0,3,0,3
tase,com.maya.utils,ParameterStringBuilder,84,55,5,3,19,10,5,2,2,1
tase,com.maya.utils,FullResponseBuilder,125,0,10,0,34,0,9,0,4,0
tase,com.maya.utils,Utils,28,0,0,0,9,0,2,0,2,0
tase,com.maya.utils,BadExceptionResponse,34,0,0,0,4,0,1,0,1,0
tase,com.maya.utils,GSONUtil,12,92,3,13,3,26,3,12,0,7
tase,com.maya.security,SecurityHistory,3,0,0,0,1,0,1,0,1,0
tase,com.maya.security,SecurityHistoryEntry,3,0,0,0,1,0,1,0,1,0
tase,com.maya.security,SecurityListing,182,0,4,0,27,0,7,0,5,0
tase,com.maya.adapters,FundsLocalDateAdapter,29,13,4,0,6,4,5,1,3,1
tase,com.maya.adapters,EmptyStringAsNullTypeAdapter,20,0,6,0,5,0,4,0,1,0
tase,com.maya.adapters,FundsLocalDateTimeAdapter,2,50,2,2,1,12,2,4,0,4
tase,com.maya.fund,FundAsset,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundDisclosure,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundAssetComposition,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundMeta,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundHistory,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundIndicator,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundListing,50,0,2,0,12,0,3,0,2,0
tase,com.maya.fund,FundHistoryEntry,3,0,0,0,1,0,1,0,1,0
tase,com.maya.fund,FundRisk,3,0,0,0,1,0,1,0,1,0
tase,com.maya,Maya.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tase,com.maya,Maya.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tase,com.maya,Maya.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
tase,com.maya,Maya.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tase,com.maya,MayaSecurity,51,126,6,0,11,24,5,5,2,5
tase,com.maya,MayaBase,133,139,5,7,15,33,5,5,0,4
tase,com.maya,MayaSecurity.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tase,com.maya,MayaSecurity.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tase,com.maya,Maya,167,212,9,7,34,43,11,11,6,8
tase,com.maya,MayaFunds.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
tase,com.maya,App.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
tase,com.maya,App,523,0,20,0,120,0,20,0,10,0
tase,com.maya,MayaFunds,47,84,6,0,10,19,5,3,2,3
tase,com.maya.requestclasses,MayaFundDetailsRequest,6,28,1,1,2,7,2,3,1,3
tase,com.maya.requestclasses,MayaBaseRequest,81,270,8,8,16,53,7,10,0,9
tase,com.maya.requestclasses,MayaAllSecuritiesRequest,0,21,0,0,0,6,0,3,0,3
tase,com.maya.requestclasses,MayaSecurityDataRequest,0,31,0,0,0,8,0,3,0,3
tase,com.maya.requestclasses,MayaSecurityBaseRequest,0,17,0,0,0,5,0,2,0,2
tase,com.maya.requestclasses,MayaSecurityHistoricalRequest,75,0,0,0,15,0,4,0,4,0
tase,com.maya.requestclasses,MayaSecurityDetailsRequest,26,0,0,0,7,0,3,0,3,0
tase,com.maya.requestclasses,MayaFundBaseRequest,0,24,0,2,0,5,0,3,0,2
tase,com.maya.requestclasses,MayaFundHistoricalRequest,62,0,0,0,13,0,4,0,4,0
tase,com.maya.jsondata,SecurityListing,192,4,3,1,27,1,6,1,4,1
tase,com.maya.jsondata,FundAssetComposition,0,3,0,0,0,1,0,1,0,1
tase,com.maya.jsondata,FundHistory,3,0,0,0,1,0,1,0,1,0
tase,com.maya.jsondata,SecurityHistoryEntry,3,0,0,0,1,0,1,0,1,0
tase,com.maya.jsondata,FundListing,50,0,2,0,12,0,3,0,2,0
tase,com.maya.jsondata,FundDisclosure,0,3,0,0,0,1,0,1,0,1
tase,com.maya.jsondata,FundRisk,0,3,0,0,0,1,0,1,0,1
tase,com.maya.jsondata,FundAsset,0,3,0,0,0,1,0,1,0,1
tase,com.maya.jsondata,FundIndicator,0,3,0,0,0,1,0,1,0,1
tase,com.maya.jsondata,SecurityHistory,3,0,0,0,1,0,1,0,1,0
tase,com.maya.jsondata,FundMeta,0,3,0,0,0,1,0,1,0,1
tase,com.maya.jsondata,FundHistoryEntry,3,0,0,0,1,0,1,0,1,0
